iter	Passed	Remaining
0	8	8361
1	16	8148
2	25	8351
3	33	8354
4	40	8123
5	49	8172
6	56	8010
7	63	7848
8	70	7793
9	78	7764
10	85	7729
11	92	7637
12	102	7808
13	112	7949
14	122	8055
15	132	8141
16	139	8090
17	148	8078
18	155	8023
19	163	8001
20	170	7970
21	179	7973
22	186	7921
23	194	7901
24	201	7869
25	209	7861
26	216	7807
27	223	7742
28	229	7677
29	234	7584
30	240	7522
31	245	7429
32	249	7325
33	254	7237
34	258	7139
35	262	7040
36	266	6946
37	270	6857
38	274	6769
39	278	6674
40	281	6580
41	285	6510
42	289	6435
43	292	6354
44	295	6275
45	299	6210
46	303	6156
47	308	6115
48	312	6055
49	315	5993
50	319	5938
51	322	5880
52	326	5828
53	329	5769
54	332	5712
55	335	5649
56	338	5604
57	342	5556
58	345	5507
59	348	5463
60	352	5425
61	356	5386
62	359	5345
63	362	5305
64	366	5272
65	370	5238
66	373	5201
67	377	5167
68	380	5137
69	384	5109
70	387	5074
71	391	5041
72	394	5009
73	398	4985
74	402	4959
75	405	4929
76	408	4900
77	412	4872
78	415	4846
79	419	4820
80	422	4792
81	425	4766
82	428	4739
83	432	4716
84	435	4691
85	439	4667
86	442	4642
87	445	4622
88	449	4601
89	452	4578
90	456	4557
91	459	4538
92	463	4520
93	466	4499
94	470	4479
95	473	4459
96	477	4441
97	481	4428
98	484	4409
99	487	4390
100	491	4370
101	494	4356
102	498	4342
103	502	4329
104	509	4342
105	514	4340
106	519	4333
107	522	4318
108	526	4302
109	529	4285
110	533	4270
111	536	4254
112	539	4237
113	543	4224
114	547	4209
115	550	4193
116	553	4179
117	557	4165
118	561	4154
119	564	4140
120	567	4124
121	571	4110
122	574	4098
123	578	4084
124	581	4071
125	584	4057
126	588	4045
127	592	4033
128	595	4022
129	599	4009
130	602	3995
131	605	3982
132	609	3973
133	612	3959
134	616	3947
135	619	3935
136	623	3925
137	626	3915
138	630	3904
139	633	3892
140	636	3879
141	640	3870
142	644	3860
143	647	3850
144	651	3839
145	654	3830
146	658	3819
147	661	3807
148	664	3796
149	667	3785
150	671	3776
151	675	3767
152	678	3758
153	682	3748
154	686	3742
155	690	3737
156	694	3729
157	698	3720
158	701	3712
159	706	3706
160	709	3699
161	713	3690
162	717	3682
163	721	3678
164	725	3673
165	729	3666
166	734	3661
167	738	3656
168	742	3651
169	746	3643
170	750	3639
171	755	3638
172	759	3631
173	763	3625
174	768	3621
175	772	3618
176	776	3610
177	780	3602
178	784	3597
179	789	3596
180	793	3589
181	797	3583
182	802	3582
183	806	3576
184	810	3568
185	814	3562
186	817	3556
187	822	3550
188	825	3542
189	829	3536
190	833	3531
191	837	3524
192	841	3517
193	844	3510
194	848	3503
195	852	3497
196	855	3488
197	859	3480
198	863	3475
199	866	3467
200	870	3459
201	873	3450
202	877	3445
203	881	3439
204	884	3431
205	888	3424
206	892	3418
207	896	3413
208	900	3407
209	903	3399
210	907	3392
211	911	3386
212	914	3380
213	918	3373
214	921	3365
215	925	3359
216	928	3351
217	932	3344
218	936	3338
219	939	3331
220	943	3324
221	946	3317
222	949	3309
223	953	3301
224	956	3295
225	960	3288
226	963	3281
227	966	3273
228	969	3265
229	973	3258
230	977	3252
231	980	3245
232	984	3239
233	987	3232
234	990	3225
235	994	3218
236	997	3212
237	1001	3206
238	1005	3200
239	1008	3193
240	1011	3186
241	1015	3180
242	1018	3173
243	1022	3167
244	1025	3161
245	1029	3155
246	1032	3147
247	1036	3142
248	1039	3135
249	1043	3129
250	1046	3123
251	1050	3117
252	1054	3112
253	1057	3105
254	1060	3099
255	1064	3092
256	1067	3086
257	1071	3080
258	1074	3073
259	1077	3067
260	1081	3060
261	1084	3055
262	1087	3048
263	1091	3042
264	1095	3038
265	1099	3033
266	1102	3027
267	1106	3021
268	1109	3016
269	1113	3011
270	1117	3005
271	1121	3000
272	1124	2994
273	1127	2988
274	1131	2983
275	1135	2977
276	1138	2972
277	1142	2965
278	1145	2960
279	1149	2955
280	1152	2950
281	1156	2944
282	1159	2938
283	1163	2932
284	1167	2927
285	1170	2922
286	1174	2917
287	1177	2911
288	1181	2906
289	1184	2900
290	1188	2894
291	1191	2889
292	1195	2883
293	1198	2878
294	1202	2872
295	1205	2867
296	1208	2861
297	1212	2856
298	1215	2850
299	1219	2845
300	1222	2839
301	1225	2833
302	1229	2828
303	1232	2822
304	1236	2816
305	1239	2811
306	1243	2806
307	1246	2800
308	1250	2795
309	1253	2790
310	1257	2785
311	1260	2780
312	1264	2774
313	1267	2768
314	1270	2763
315	1273	2757
316	1277	2753
317	1281	2748
318	1284	2742
319	1287	2736
320	1291	2732
321	1295	2728
322	1299	2724
323	1303	2719
324	1307	2714
325	1310	2710
326	1314	2705
327	1317	2700
328	1321	2695
329	1325	2690
330	1328	2685
331	1332	2680
332	1335	2674
333	1338	2669
334	1342	2664
335	1345	2659
336	1349	2654
337	1353	2650
338	1356	2645
339	1360	2640
340	1363	2635
341	1366	2629
342	1370	2624
343	1373	2619
344	1377	2615
345	1381	2610
346	1385	2607
347	1388	2602
348	1392	2597
349	1396	2592
350	1399	2588
351	1403	2582
352	1406	2578
353	1410	2573
354	1413	2568
355	1417	2564
356	1421	2559
357	1424	2554
358	1428	2549
359	1431	2545
360	1435	2540
361	1438	2535
362	1442	2531
363	1446	2526
364	1449	2521
365	1453	2517
366	1457	2513
367	1460	2508
368	1464	2504
369	1468	2499
370	1471	2494
371	1474	2489
372	1478	2485
373	1482	2480
374	1485	2475
375	1488	2470
376	1492	2465
